year,name,position
2019,Anne Johnston,1
2018,Jennifer Murrin,1
2017,Jennifer Murrin,1
2016,Kate Bazeley,1
2015,Anne Johnston,1
2014,Kate Bazeley,1
2013,Lisa Harvey,1
2012,Lisa Harvey,1
2011,Kate Bazeley,1
2010,Kate Bazeley,1
2009,Lisa Harvey,1
2008,Lisa Harvey,1
2007,Lisa Harvey,1
2006,Lisa Harvey,1
2005,Caroline McIlroy,1
2019,Jennifer Murrin,2
2018,Anne Johnston,2
2017,Lisa Sheppard,2
2016,Caroline McIlroy,2
2015,Ailsa Macdonald,2
2014,Julia Kawamoto,2
2013,Lisa Sheppard,2
2012,Caroline McIlroy,2
2011,Lisa Harvey,2
2010,Lisa Harvey,2
2009,Kate Vaughan,2
2008,Kate Vaughan,2
2007,Caroline McIlroy,2
2006,Caroline McIlroy,2
2005,Stephanie Hodge,2
2019,Kate Bazeley,3
2018,Kate Bazeley,3
2017,Caroline McIlroy,3
2016,Jennifer Murrin,3
2015,Faye Stenning,3
2014,Caroline McIlroy,3
2013,Alison Walsh,3
2012,Alison Walsh,3
2011,Caroline McIlroy,3
2010,Karen Stacey,3
2009,Caroline McIlroy,3
2008,Sarah Healy,3
2007,Allison Hobeika,3
2006,Krissy Dooling,3
2005,Karen Martin,3